sound_path,sample_rate_hz,time_step,window_length,f_low1,f_high1,f_low2,f_high2,pitch_floor,pitch_ceiling,alpha_ratio_mean,elapsed_seconds,time_seconds,alpha_ratio
high_pitch.wav,44100.0,0.01,0.025,50.0,1000.0,1000.0,5000.0,75.0,500.0,1.445296,0.011060,0.796009,1.676986
,,,,,,,,,,,,0.806009,2.342030
,,,,,,,,,,,,0.816009,2.360343
,,,,,,,,,,,,0.826009,1.960987
,,,,,,,,,,,,0.836009,1.820588
,,,,,,,,,,,,0.846009,1.755404
,,,,,,,,,,,,0.856009,1.711374
,,,,,,,,,,,,0.866009,1.654830
,,,,,,,,,,,,0.876009,1.626574
,,,,,,,,,,,,0.886009,1.584137
,,,,,,,,,,,,0.896009,1.539834
,,,,,,,,,,,,0.906009,1.428112
,,,,,,,,,,,,0.916009,1.480754
,,,,,,,,,,,,0.926009,1.553547
,,,,,,,,,,,,0.936009,1.617392
,,,,,,,,,,,,0.946009,1.797331
,,,,,,,,,,,,0.956009,2.224764
,,,,,,,,,,,,0.966009,2.631219
,,,,,,,,,,,,0.976009,2.418030
,,,,,,,,,,,,0.986009,1.648720
,,,,,,,,,,,,0.996009,1.578698
,,,,,,,,,,,,1.006009,0.862944
,,,,,,,,,,,,1.016009,1.200927
,,,,,,,,,,,,1.026009,1.601259
,,,,,,,,,,,,1.086009,1.997541
,,,,,,,,,,,,1.096009,2.449918
,,,,,,,,,,,,1.106009,2.349938
,,,,,,,,,,,,1.116009,1.865453
,,,,,,,,,,,,1.126009,1.571847
,,,,,,,,,,,,1.136009,1.603451
,,,,,,,,,,,,1.146009,1.656834
,,,,,,,,,,,,1.156009,1.694214
,,,,,,,,,,,,1.166009,1.755990
,,,,,,,,,,,,1.176009,1.825843
,,,,,,,,,,,,1.186009,1.892581
,,,,,,,,,,,,1.196009,1.926901
,,,,,,,,,,,,1.206009,2.079516
,,,,,,,,,,,,1.216009,2.539141
,,,,,,,,,,,,1.226009,2.990543
,,,,,,,,,,,,1.236009,2.922221
,,,,,,,,,,,,1.246009,1.957168
,,,,,,,,,,,,1.256009,2.140934
,,,,,,,,,,,,1.266009,2.196145
,,,,,,,,,,,,1.276009,2.624537
,,,,,,,,,,,,1.286009,2.352122
,,,,,,,,,,,,1.326009,2.359666
,,,,,,,,,,,,1.336009,1.757125
,,,,,,,,,,,,1.346009,1.055071
,,,,,,,,,,,,1.356009,0.938922
,,,,,,,,,,,,1.366009,0.935780
,,,,,,,,,,,,1.376009,0.984964
,,,,,,,,,,,,1.386009,0.998173
,,,,,,,,,,,,1.396009,1.141824
,,,,,,,,,,,,1.406009,1.308133
,,,,,,,,,,,,1.416009,1.510888
,,,,,,,,,,,,1.426009,1.728154
,,,,,,,,,,,,1.436009,2.036990
,,,,,,,,,,,,1.446009,2.338139
,,,,,,,,,,,,1.456009,2.373746
,,,,,,,,,,,,1.466009,1.693614
,,,,,,,,,,,,1.476009,1.249153
,,,,,,,,,,,,1.486009,0.865157
,,,,,,,,,,,,1.496009,0.988155
,,,,,,,,,,,,1.506009,1.390040
,,,,,,,,,,,,1.556009,1.874200
,,,,,,,,,,,,1.566009,1.558938
,,,,,,,,,,,,1.576009,1.353748
,,,,,,,,,,,,1.586009,1.372130
,,,,,,,,,,,,1.596009,1.401570
,,,,,,,,,,,,1.606009,1.366095
,,,,,,,,,,,,1.616009,1.234960
,,,,,,,,,,,,1.626009,1.091384
,,,,,,,,,,,,1.636009,0.961369
,,,,,,,,,,,,1.646009,1.043974
,,,,,,,,,,,,1.656009,0.894970
,,,,,,,,,,,,1.666009,0.770324
,,,,,,,,,,,,1.676009,0.585964
,,,,,,,,,,,,1.686009,0.326399
,,,,,,,,,,,,1.696009,0.282978
,,,,,,,,,,,,1.706009,0.300161
,,,,,,,,,,,,1.716009,0.360573
,,,,,,,,,,,,1.726009,0.484128
,,,,,,,,,,,,1.736009,0.472664
,,,,,,,,,,,,1.746009,0.587715
,,,,,,,,,,,,1.756009,0.756945
,,,,,,,,,,,,1.766009,0.993003
,,,,,,,,,,,,1.776009,1.347369
,,,,,,,,,,,,1.786009,1.646721
,,,,,,,,,,,,1.796009,1.789727
,,,,,,,,,,,,1.806009,2.059961
,,,,,,,,,,,,1.816009,2.238102
,,,,,,,,,,,,1.826009,2.537163
,,,,,,,,,,,,1.836009,2.000846
,,,,,,,,,,,,1.846009,2.187536
,,,,,,,,,,,,1.856009,1.736899
,,,,,,,,,,,,1.866009,1.382492
,,,,,,,,,,,,1.876009,1.281883
,,,,,,,,,,,,1.886009,1.337753
,,,,,,,,,,,,1.896009,1.298959
,,,,,,,,,,,,1.906009,1.381039
,,,,,,,,,,,,1.916009,1.605917
,,,,,,,,,,,,1.926009,1.716559
,,,,,,,,,,,,1.936009,2.177171
,,,,,,,,,,,,1.946009,1.703448
,,,,,,,,,,,,1.956009,1.606798
,,,,,,,,,,,,1.966009,1.758986
,,,,,,,,,,,,1.976009,2.115733
,,,,,,,,,,,,1.986009,2.102200
,,,,,,,,,,,,1.996009,2.108565
,,,,,,,,,,,,2.006009,2.092668
,,,,,,,,,,,,2.016009,2.190770
,,,,,,,,,,,,2.026009,1.627971
,,,,,,,,,,,,2.036009,0.921307
,,,,,,,,,,,,2.046009,0.669479
,,,,,,,,,,,,2.056009,0.523409
,,,,,,,,,,,,2.066009,0.371698
,,,,,,,,,,,,2.076009,0.348904
,,,,,,,,,,,,2.086009,0.440010
,,,,,,,,,,,,2.096009,0.541531
,,,,,,,,,,,,2.106009,0.691944
,,,,,,,,,,,,2.116009,0.774645
,,,,,,,,,,,,2.126009,0.810274
,,,,,,,,,,,,2.136009,0.899830
,,,,,,,,,,,,2.146009,1.093861
,,,,,,,,,,,,2.156009,1.296607
,,,,,,,,,,,,2.166009,1.452446
,,,,,,,,,,,,2.176009,1.615050
,,,,,,,,,,,,2.186009,1.712557
,,,,,,,,,,,,2.196009,1.062048
,,,,,,,,,,,,2.206009,1.136217
,,,,,,,,,,,,2.216009,1.174290
,,,,,,,,,,,,2.276009,1.309870
,,,,,,,,,,,,2.286009,1.273409
