sound_path,sample_rate_hz,time_step,pitch_floor,pitch_ceiling,f0_lstsq_slope,pitch_mean,elapsed_seconds,time_seconds,f0_hz
testsoundmono.mp3,44100.0,0.01,75.0,500.0,-12.656746,116.016288,0.004236,0.760669,150.962
,,,,,,,,0.770669,130.732
,,,,,,,,0.780669,126.224
,,,,,,,,0.790669,125.371
,,,,,,,,0.800669,123.572
,,,,,,,,0.810669,124.764
,,,,,,,,0.820669,124.629
,,,,,,,,0.830669,123.667
,,,,,,,,0.840669,122.377
,,,,,,,,0.850669,119.748
,,,,,,,,0.860669,116.433
,,,,,,,,0.870669,113.928
,,,,,,,,0.880669,110.814
,,,,,,,,0.890669,107.736
,,,,,,,,0.900669,108.618
,,,,,,,,0.910669,113.812
,,,,,,,,0.920669,116.894
,,,,,,,,0.930669,117.159
,,,,,,,,0.940669,121.661
,,,,,,,,0.950669,123.560
,,,,,,,,0.960669,124.334
,,,,,,,,0.970669,124.366
,,,,,,,,0.980669,124.551
,,,,,,,,0.990669,125.110
,,,,,,,,1.000669,125.864
,,,,,,,,1.010669,127.502
,,,,,,,,1.020669,129.284
,,,,,,,,1.030669,131.463
,,,,,,,,1.040669,132.453
,,,,,,,,1.050669,133.590
,,,,,,,,1.060669,133.007
,,,,,,,,1.070669,130.465
,,,,,,,,1.240669,133.452
,,,,,,,,1.250669,131.011
,,,,,,,,1.260669,131.134
,,,,,,,,1.270669,129.711
,,,,,,,,1.280669,127.878
,,,,,,,,1.290669,125.372
,,,,,,,,1.300669,120.686
,,,,,,,,1.310669,116.231
,,,,,,,,1.320669,116.415
,,,,,,,,1.330669,119.029
,,,,,,,,1.340669,119.305
,,,,,,,,1.380669,143.710
,,,,,,,,1.390669,134.089
,,,,,,,,1.400669,131.195
,,,,,,,,1.410669,135.075
,,,,,,,,1.420669,135.743
,,,,,,,,1.430669,133.567
,,,,,,,,1.440669,131.066
,,,,,,,,1.450669,128.477
,,,,,,,,1.460669,124.701
,,,,,,,,1.470669,124.889
,,,,,,,,1.690669,108.840
,,,,,,,,1.700669,124.483
,,,,,,,,1.710669,119.275
,,,,,,,,1.720669,120.605
,,,,,,,,1.730669,121.023
,,,,,,,,1.740669,121.347
,,,,,,,,1.750669,121.373
,,,,,,,,1.760669,120.952
,,,,,,,,1.770669,120.404
,,,,,,,,1.780669,119.960
,,,,,,,,1.790669,122.573
,,,,,,,,1.800669,124.893
,,,,,,,,1.810669,124.382
,,,,,,,,1.820669,123.900
,,,,,,,,1.830669,122.707
,,,,,,,,1.840669,120.343
,,,,,,,,1.850669,115.756
,,,,,,,,1.860669,118.872
,,,,,,,,1.870669,118.427
,,,,,,,,1.880669,118.007
,,,,,,,,1.890669,120.135
,,,,,,,,1.900669,120.262
,,,,,,,,1.910669,120.103
,,,,,,,,1.920669,119.113
,,,,,,,,1.930669,117.117
,,,,,,,,1.940669,114.062
,,,,,,,,1.950669,110.598
,,,,,,,,1.960669,106.426
,,,,,,,,1.970669,104.820
,,,,,,,,1.980669,103.814
,,,,,,,,1.990669,113.583
,,,,,,,,2.000669,113.371
,,,,,,,,2.010669,116.059
,,,,,,,,2.020669,117.003
,,,,,,,,2.030669,117.164
,,,,,,,,2.040669,115.792
,,,,,,,,2.050669,113.590
,,,,,,,,2.060669,113.018
,,,,,,,,2.070669,113.834
,,,,,,,,2.080669,112.103
,,,,,,,,2.090669,110.588
,,,,,,,,2.100669,110.640
,,,,,,,,2.110669,115.694
,,,,,,,,2.120669,116.286
,,,,,,,,2.130669,118.714
,,,,,,,,2.140669,105.036
,,,,,,,,2.150669,114.394
,,,,,,,,2.160669,111.115
,,,,,,,,2.170669,112.042
,,,,,,,,2.180669,112.945
,,,,,,,,2.190669,112.219
,,,,,,,,2.200669,110.718
,,,,,,,,2.210669,107.577
,,,,,,,,2.220669,107.245
,,,,,,,,2.230669,105.323
,,,,,,,,2.240669,103.020
,,,,,,,,2.250669,100.414
,,,,,,,,2.260669,96.728
,,,,,,,,2.270669,96.558
,,,,,,,,2.280669,99.012
,,,,,,,,2.290669,102.038
,,,,,,,,2.300669,106.964
,,,,,,,,2.310669,108.376
,,,,,,,,2.320669,106.188
,,,,,,,,2.330669,103.292
,,,,,,,,2.340669,104.869
,,,,,,,,2.350669,105.304
,,,,,,,,2.360669,106.270
,,,,,,,,2.370669,107.080
,,,,,,,,2.380669,107.806
,,,,,,,,2.390669,107.448
,,,,,,,,2.400669,108.130
,,,,,,,,2.410669,108.180
,,,,,,,,2.420669,108.582
,,,,,,,,2.430669,108.845
,,,,,,,,2.440669,108.763
,,,,,,,,2.450669,108.768
,,,,,,,,2.460669,108.280
,,,,,,,,2.470669,107.984
,,,,,,,,2.480669,107.315
,,,,,,,,2.490669,107.207
,,,,,,,,2.500669,106.524
,,,,,,,,2.510669,105.484
,,,,,,,,2.520669,105.695
,,,,,,,,2.530669,105.601
,,,,,,,,2.540669,105.706
,,,,,,,,2.550669,104.764
,,,,,,,,2.560669,104.049
,,,,,,,,2.570669,103.558
,,,,,,,,2.580669,103.885
,,,,,,,,2.590669,103.445
,,,,,,,,2.600669,103.616
,,,,,,,,2.610669,102.793
,,,,,,,,2.620669,103.958
,,,,,,,,2.630669,104.247
,,,,,,,,2.640669,105.506
,,,,,,,,2.650669,107.114
,,,,,,,,2.660669,108.603
,,,,,,,,2.670669,110.513
,,,,,,,,2.680669,114.492
,,,,,,,,2.690669,112.523
,,,,,,,,2.700669,99.008
