sound_path,sample_rate_hz,time_step,max_formant_hz,n_formants,formant_window_length,pre_emphasis_from_hz,spec_window_length,max_freq_hz,pitch_floor,pitch_ceiling,f_i_bandwidth_hz,return_db,mean_rel_energy_f_i,elapsed_seconds,time_seconds,relative_energy
testsoundmono.mp3,44100.0,0.01,5500.0,5,0.025,50.0,0.025,5000.0,75.0,500.0,150,True,-43.187290,0.048299,0.755669,-59.044498
,,,,,,,,,,,,,,,0.765669,-70.815002
,,,,,,,,,,,,,,,0.775669,-62.095728
,,,,,,,,,,,,,,,0.785669,-80.482104
,,,,,,,,,,,,,,,0.795669,-79.317756
,,,,,,,,,,,,,,,0.805669,-73.922780
,,,,,,,,,,,,,,,0.815669,-65.685934
,,,,,,,,,,,,,,,0.825669,-75.186986
,,,,,,,,,,,,,,,0.835669,-70.541917
,,,,,,,,,,,,,,,0.845669,-73.188748
,,,,,,,,,,,,,,,0.855669,-71.278458
,,,,,,,,,,,,,,,0.865669,-66.493521
,,,,,,,,,,,,,,,0.875669,-61.629467
,,,,,,,,,,,,,,,0.885669,-41.149433
,,,,,,,,,,,,,,,0.895669,-38.405904
,,,,,,,,,,,,,,,0.905669,-44.335587
,,,,,,,,,,,,,,,0.915669,-38.227555
,,,,,,,,,,,,,,,0.925669,-37.315811
,,,,,,,,,,,,,,,0.935669,-32.594726
,,,,,,,,,,,,,,,0.945669,-34.520637
,,,,,,,,,,,,,,,0.955669,-40.809952
,,,,,,,,,,,,,,,0.965669,-33.530294
,,,,,,,,,,,,,,,0.975669,-34.505801
,,,,,,,,,,,,,,,0.985669,-33.776619
,,,,,,,,,,,,,,,0.995669,-31.833118
,,,,,,,,,,,,,,,1.005669,-33.156810
,,,,,,,,,,,,,,,1.015669,-40.964590
,,,,,,,,,,,,,,,1.025669,-40.674132
,,,,,,,,,,,,,,,1.035669,-42.136959
,,,,,,,,,,,,,,,1.045669,-35.804841
,,,,,,,,,,,,,,,1.055669,-35.757733
,,,,,,,,,,,,,,,1.065669,-37.837455
,,,,,,,,,,,,,,,1.235669,-41.053862
,,,,,,,,,,,,,,,1.245669,-32.721663
,,,,,,,,,,,,,,,1.255669,-35.015597
,,,,,,,,,,,,,,,1.265669,-35.729636
,,,,,,,,,,,,,,,1.275669,-37.748063
,,,,,,,,,,,,,,,1.285669,-49.046044
,,,,,,,,,,,,,,,1.295669,-40.767515
,,,,,,,,,,,,,,,1.305669,-44.144241
,,,,,,,,,,,,,,,1.315669,-28.821120
,,,,,,,,,,,,,,,1.325669,-35.262510
,,,,,,,,,,,,,,,1.335669,-31.148345
,,,,,,,,,,,,,,,1.375669,-29.185383
,,,,,,,,,,,,,,,1.385669,-33.342316
,,,,,,,,,,,,,,,1.395669,-37.461468
,,,,,,,,,,,,,,,1.405669,-32.153496
,,,,,,,,,,,,,,,1.415669,-35.012583
,,,,,,,,,,,,,,,1.425669,-35.299559
,,,,,,,,,,,,,,,1.435669,-32.921831
,,,,,,,,,,,,,,,1.445669,-35.501255
,,,,,,,,,,,,,,,1.455669,-42.890375
,,,,,,,,,,,,,,,1.465669,-37.333668
,,,,,,,,,,,,,,,1.685669,-34.991133
,,,,,,,,,,,,,,,1.695669,-31.055007
,,,,,,,,,,,,,,,1.705669,-34.454247
,,,,,,,,,,,,,,,1.715669,-35.808870
,,,,,,,,,,,,,,,1.725669,-32.541050
,,,,,,,,,,,,,,,1.735669,-38.037533
,,,,,,,,,,,,,,,1.745669,-48.451898
,,,,,,,,,,,,,,,1.755669,-50.911216
,,,,,,,,,,,,,,,1.765669,-52.561471
,,,,,,,,,,,,,,,1.775669,-50.212960
,,,,,,,,,,,,,,,1.785669,-42.662248
,,,,,,,,,,,,,,,1.795669,-46.846022
,,,,,,,,,,,,,,,1.805669,-70.773117
